mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
78,"45.1929442385251,5.73298095929912",2,nouveau modèle,20030101000000,45.1929442385251,5.73298095929912,POINT (638192.521116711 5651947.924740072),7.0710678118654755
79,"45.1932743803987,5.73193398101705",7,nouveau modèle,20120101000000,45.1932743803987,5.73193398101705,POINT (638075.9720274794 5652000.074883627),13.228756555322953
80,"45.1928321242568,5.73134497816884",9,nouveau modèle,19990101000000,45.1928321242568,5.73134497816884,POINT (638010.4045303409 5651930.214922154),15.0
81,"45.1924659674602,5.73143088628541",5,nouveau modèle,20000101000000,45.1924659674602,5.73143088628541,POINT (638019.9677781325 5651872.376227324),11.180339887498949
82,"45.1920990317435,5.73123041546446",5,nouveau modèle,20100101000000,45.1920990317435,5.73123041546446,POINT (637997.6514684255 5651814.414866375),11.180339887498949
83,"45.1920082758841,5.73188421462149",5,nouveau modèle,20060101000000,45.1920082758841,5.73188421462149,POINT (638070.432057667 5651800.079080204),11.180339887498949
84,"45.1915776866613,5.7306496519585",8,nouveau modèle,20110101000000,45.1915776866613,5.7306496519585,POINT (637933.0011706706 5651732.0635625925),14.142135623730951
85,"45.191679887555,5.73066860165514",2,nouveau modèle,19990101000000,45.191679887555,5.73066860165514,POINT (637935.1106412512 5651748.207084685),7.0710678118654755
86,"45.1926020385212,5.72989196946663",4,nouveau modèle,20040101000000,45.1926020385212,5.72989196946663,POINT (637848.6563414927 5651893.870179469),10.0
87,"45.190648022067,5.72913669874112",5,nouveau modèle,20040101000000,45.190648022067,5.72913669874112,POINT (637764.5799889178 5651585.216266791),11.180339887498949
88,"45.1908014134115,5.72921054323472",3,nouveau modèle,20040101000000,45.1908014134115,5.72921054323472,POINT (637772.8003203432 5651609.445381964),8.660254037844386
89,"45.1915052400149,5.72950629466093",2,nouveau modèle,20040101000000,45.1915052400149,5.72950629466093,POINT (637805.7232185104 5651720.620000802),7.0710678118654755
90,"45.1915745854654,5.72954320312043",2,nouveau modèle,20040101000000,45.1915745854654,5.72954320312043,POINT (637809.8318494279 5651731.573702119),7.0710678118654755
135,"45.1872322608772,5.7225250674379",5,nouveau modèle,20000101000000,45.1872322608772,5.7225250674379,POINT (637028.5765589306 5651045.692496716),11.180339887498949
136,"45.187997731454,5.72172783708337",3,nouveau modèle,20010101000000,45.187997731454,5.72172783708337,POINT (636939.8292818193 5651166.596720928),8.660254037844386
137,"45.1850140878529,5.72327773722473",5,nouveau modèle,19980101000000,45.1850140878529,5.72327773722473,POINT (637112.3633763358 5650695.346620059),11.180339887498949
138,"45.1850964497892,5.72332195105928",12,nouveau modèle,20120101000000,45.1850964497892,5.72332195105928,POINT (637117.285237884 5650708.354903521),17.32050807568877
139,"45.1906575952167,5.72349715733549",12,nouveau modèle,20100101000000,45.1906575952167,5.72349715733549,POINT (637136.7891113355 5651586.7284033075),17.32050807568877
140,"45.1905284698578,5.72276468495637",2,nouveau modèle,20020101000000,45.1905284698578,5.72276468495637,POINT (637055.2506590717 5651566.332298403),7.0710678118654755
141,"45.1904551715939,5.72281764702937",2,nouveau modèle,20020101000000,45.1904551715939,5.72281764702937,POINT (637061.1463700695 5651554.754429933),7.0710678118654755
142,"45.1913320070602,5.72266317697799",2,nouveau modèle,19990101000000,45.1913320070602,5.72266317697799,POINT (637043.9508426071 5651693.256446498),7.0710678118654755
